fastapi>=0.68.0,<0.69.0
uvicorn>=0.15.0,<0.16.0
python-multipart>=0.0.5,<0.1.0
websockets>=10.0,<11.0

# Database
sqlalchemy>=1.4.23,<1.5.0
alembic>=1.7.1,<1.8.0
psycopg2-binary>=2.9.1,<2.10.0

# Authentication and Security
python-jose[cryptography]>=3.3.0,<3.4.0
passlib[bcrypt]>=1.7.4,<1.8.0
pydantic>=1.8.0,<2.0.0

# Caching and Message Queue
redis>=4.0.0,<4.1.0
aioredis>=2.0.0,<2.1.0
celery>=5.2.0,<5.3.0

# HTTP Clients
aiohttp>=3.7.4,<3.8.0
httpx>=0.23.0,<0.24.0
requests>=2.26.0,<2.27.0

# Testing
pytest>=7.0.0,<7.1.0
pytest-asyncio>=0.18.0,<0.19.0
pytest-cov>=3.0.0,<3.1.0
locust>=2.8.0,<2.9.0

# Monitoring and Metrics
prometheus-client>=0.14.0,<0.15.0

# Development Tools
python-dotenv>=0.19.0,<0.20.0
click>=8.0.0,<8.1.0
ipython>=8.0.0,<8.1.0
psutil>=5.8.0,<5.9.0
pyyaml>=6.0.0,<6.1.0
toml>=0.10.2,<0.11.0

# AI Services
openai>=1.0.0
